id,url,name,genre,director,contentRating,datePublished,keywords,description,averageRating,ratingCount,releasedCountry,duration
1,https://www.imdb.com/title/tt0371746/?ref_=tt_rec_tti,Iron Man,"Action, Adventure, Sci-Fi",Jon Favreau,PG-13,2008,"stan lee character,playboy,inventor,robot suit,marvel cinematic universe","Iron Man is a movie starring Robert Downey Jr., Gwyneth Paltrow, and Terrence Howard. After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",7.9,816047,USA,2h6m
2,https://www.imdb.com//title/tt1300854/?ref_=tt_rec_tti,Iron Man 3,"Action, Adventure, Sci-Fi",Shane Black,PG-13,2013,"terrorist,explosion,billionaire,missile attack,human bomb","Iron Man 3 is a movie starring Robert Downey Jr., Guy Pearce, and Gwyneth Paltrow. When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",7.2,654108,USA,2h10m
3,https://www.imdb.com//title/tt2015381/?ref_=tt_rec_tti,Guardians of the Galaxy,"Action, Adventure, Comedy, Sci-Fi",James Gunn,PG-13,2014,"bounty hunter,outer space,tree,heroes,talking animal","Guardians of the Galaxy is a movie starring Chris Pratt, Vin Diesel, and Bradley Cooper. A group of intergalactic criminals are forced to work together to stop a fanatical warrior from taking control of the universe.",8.1,883112,USA,2h1m
4,https://www.imdb.com//title/tt1228705/?ref_=tt_rec_tti,Iron Man 2,"Action, Sci-Fi",Jon Favreau,PG-13,2010,"stan lee character,billionaire,superhero,power suit,based on comic book","Iron Man 2 is a movie starring Robert Downey Jr., Mickey Rourke, and Gwyneth Paltrow. With the world now aware of his identity as Iron Man, Tony Stark must contend with both his declining health and a vengeful mad man with ties to...",7,618786,USA,2h4m
5,https://www.imdb.com//title/tt2395427/?ref_=tt_rec_tti,Avengers: Age of Ultron,"Action, Adventure, Sci-Fi",Joss Whedon,PG-13,2015,"superhero,marvel cinematic universe,based on comic book,artificial intelligence,final battle","Avengers: Age of Ultron is a movie starring Robert Downey Jr., Chris Evans, and Mark Ruffalo. When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron, things go horribly wrong and it's up to...",7.4,610584,USA,2h21m
6,https://www.imdb.com//title/tt1431045/?ref_=tt_rec_tti,Deadpool,"Action, Adventure, Comedy, Sci-Fi",Tim Miller,R,2016,"breaking the fourth wall,anti hero,mercenary,revenge,mutant","Deadpool is a movie starring Ryan Reynolds, Morena Baccarin, and T.J. Miller. A fast-talking mercenary with a morbid sense of humor is subjected to a rogue experiment that leaves him with accelerated healing powers and a quest for...",8,771562,USA,1h48m
7,https://www.imdb.com//title/tt3501632/?ref_=tt_rec_tti,Thor: Ragnarok,"Action, Adventure, Comedy, Fantasy, Sci-Fi",Taika Waititi,PG-13,2017,"marvel comics,marvel cinematic universe,female villain,superhero,sequel","Thor: Ragnarok is a movie starring Chris Hemsworth, Tom Hiddleston, and Cate Blanchett. Thor is imprisoned on the planet Sakaar, and must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the...",7.9,398732,USA,2h10m
8,https://www.imdb.com//title/tt0800369/?ref_=tt_rec_tti,Thor,"Action, Adventure, Fantasy, Sci-Fi",Kenneth Branagh,PG-13,2011,"scientist,alien superhero,marvel cinematic universe,male alien,action heroine","Thor is a movie starring Chris Hemsworth, Anthony Hopkins, and Natalie Portman. The powerful, but arrogant god Thor, is cast out of Asgard to live amongst humans in Midgard (Earth), where he soon becomes one of their finest...",7,641834,USA,1h55m
9,https://www.imdb.com//title/tt1825683/?ref_=tt_rec_tti,Black Panther,"Action, Adventure, Sci-Fi",Ryan Coogler,PG-13,2018,"king,marvel cinematic universe,superhero,based on comic book,africa","Black Panther is a movie starring Chadwick Boseman, Michael B. Jordan, and Lupita Nyong'o. T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a...",7.4,408274,USA,2h14m
10,https://www.imdb.com//title/tt1843866/?ref_=tt_rec_tti,Captain America: The Winter Soldier,"Action, Adventure, Sci-Fi, Thriller",,PG-13,2014,"conspiracy,assassin,world domination,bionic arm,brainwashing","Captain America: The Winter Soldier is a movie starring Chris Evans, Samuel L. Jackson, and Scarlett Johansson. As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D...",7.8,620817,USA,2h16m
11,https://www.imdb.com//title/tt0800080/?ref_=tt_rec_tti,The Incredible Hulk,"Action, Adventure, Sci-Fi",Louis Leterrier,PG-13,2008,"antidote,opening action scene,marvel cinematic universe,vending machine,hulk","The Incredible Hulk is a movie starring Edward Norton, Liv Tyler, and Tim Roth. Bruce Banner, a scientist on the run from the U.S. Government, must find a cure for the monster he turns into, whenever he loses his temper.",6.8,380596,USA,1h52m
12,https://www.imdb.com//title/tt0451279/?ref_=tt_rec_tti,Wonder Woman,"Action, Adventure, Fantasy, Sci-Fi, War",Patty Jenkins,PG-13,2017,"woman wearing a short skirt,scantily clad female,upskirt,anti war,slit dress","Wonder Woman is a movie starring Gal Gadot, Chris Pine, and Robin Wright. When a pilot crashes and tells of conflict in the outside world, Diana, an Amazonian warrior in training, leaves home to fight a war, discovering her full...",7.5,443611,USA,2h21m
13,https://www.imdb.com//title/tt3896198/?ref_=tt_rec_tti,Guardians of the Galaxy Vol. 2,"Action, Adventure, Comedy, Sci-Fi",James Gunn,PG-13,2017,"demi god,mixtape,alien creature,marvel cinematic universe,raccoon","Guardians of the Galaxy Vol. 2 is a movie starring Chris Pratt, Zoe Saldana, and Dave Bautista. The Guardians must fight to keep their newfound family together as they unravel the mystery of Peter Quill's true parentage.",7.7,419224,USA,2h16m
14,https://www.imdb.com//title/tt2250912/?ref_=tt_rec_tti,Spider-Man: Homecoming,"Action, Adventure, Sci-Fi",Jon Watts,PG-13,2017,"marvel cinematic universe,superhero,teenage superhero,reboot,based on comic book","Spider-Man: Homecoming is a movie starring Tom Holland, Michael Keaton, and Robert Downey Jr.. Peter Parker balances his life as an ordinary high school student in Queens with his superhero alter-ego Spider-Man, and finds himself on...",7.5,366514,USA,2h13m
15,https://www.imdb.com//title/tt1981115/?ref_=tt_rec_tti,Thor: The Dark World,"Action, Adventure, Fantasy",Alan Taylor,PG-13,2013,"open ended,end of the world,adopted brother,funeral,shapeshifting","Thor: The Dark World is a movie starring Chris Hemsworth, Natalie Portman, and Tom Hiddleston. When Dr. Jane Foster gets cursed with a powerful entity known as the Aether, Thor is heralded of the cosmic event known as the...",7,505957,USA,1h52m
16,https://www.imdb.com//title/tt0478970/?ref_=tt_rec_tti,Ant-Man,"Action, Adventure, Comedy, Crime, Sci-Fi",Peyton Reed,PG-13,2015,"heist,ant,sabotage,miniaturized man,corporate","Ant-Man is a movie starring Paul Rudd, Michael Douglas, and Corey Stoll. Armed with a super-suit with the astonishing ability to shrink in scale but increase in strength, cat burglar Scott Lang must embrace his inner hero and help...",7.3,455790,USA,1h57m
17,https://www.imdb.com//title/tt5463162/?ref_=tt_rec_tti,Deadpool 2,"Action, Adventure, Comedy, Sci-Fi",David Leitch,R,2018,"taxi,second part,marvel comics,superhero,breaking the fourth wall","Deadpool 2 is a movie starring Ryan Reynolds, Josh Brolin, and Morena Baccarin. Foul-mouthed mutant mercenary Wade Wilson (AKA. Deadpool), brings together a team of fellow mutant rogues to protect a young boy with supernatural...",7.8,292979,USA,1h59m
